Name,Distance
Chloe,0
Chlo,1
Cloe,1
Cele,2
Celie,2
Celle,2
Chase,2
Chere,2
Clo,2
Cole,2
Aile,3
Ailee,3
Alie,3
Allie,3
Arlee,3
Arlie,3
Ashlee,3
Ashlie,3
Belle,3
Cal,3
Caleb,3
Calla,3
Calley,3
Calli,3
Callie,3
Cally,3
Carie,3
Carlee,3
Carlie,3
Carlye,3
Caro,3
Carol,3
Carole,3
Caron,3
Casie,3
Cate,3
Cathe,3
Catie,3
Catlee,3
Caye,3
Celene,3
Celia,3
Celine,3
Celka,3
Celsa,3
Chad,3
Chana,3
Charlot,3
Charo,3
Chau,3
Chelsae,3
Chelsea,3
Chelsey,3
Chelsie,3
Chelsy,3
Cher,3
Cherey,3
Cheri,3
Cherie,3
Chery,3
Cherye,3
Cheslie,3
Chet,3
Chloette,3
Chloris,3
Chris,3
Chu,3
Cilka,3
Clare,3
Clea,3
Clem,3
Cleo,3
Clio,3
Codee,3
Codie,3
Coleen,3
Colene,3
Colin,3
Collen,3
Collie,3
Colly,3
Con,3
Corie,3
Cynde,3
Dale,3
Doe,3
Dulce,3
Elie,3
Elke,3
Elle,3
Ellie,3
Eloy,3
Else,3
Flo,3
Flor,3
Flore,3
Gale,3
Halie,3
Helge,3
Hilde,3
Ilse,3
Jolee,3
Jolie,3
Julee,3
Julie,3
Kalie,3
Kyle,3
Kylee,3
Kylie,3
Lyle,3
Nelie,3
Nelle,3
Noe,3
Nolie,3
Ollie,3
Phebe,3
Salome,3
Selie,3
Selle,3
Shae,3
Shalne,3
Shane,3
Shon,3
Sile,3
Theo,3
Vale,3
Wilie,3
Wilone,3
Wilow,3
Zoe,3
Aaron,4
Abbe,4
Abbie,4
Abbye,4
Addie,4
Adele,4
Adelle,4
Adore,4
Afton,4
Agace,4
Aggie,4
Ahmed,4
Aila,4
Aileen,4
Ailene,4
Ailey,4
Aili,4
Ailis,4
Ailyn,4
Aime,4
Aimee,4
Alan,4
Alane,4
Alda,4
Aldo,4
Aleen,4
Alene,4
Alex,4
Alfi,4
Alfie,4
Alfy,4
Ali,4
Alia,4
Alice,4
Aline,4
Alis,4
Alix,4
Alla,4
Allan,4
Alleen,4
Allene,4
Alli,4
Allis,4
Allix,4
Allx,4
Ally,4
Allyce,4
Allyn,4
Allys,4
Alma,4
Aloise,4
Alta,4
Alyce,4
Alys,4
Alyse,4
Amalee,4
Amalie,4
Amalle,4
Ame,4
Amelie,4
Amie,4
Amye,4
Andee,4
Andie,4
Ange,4
Angie,4
Anne,4
Annie,4
Anthe,4
Anton,4
Arleen,4
Arlen,4
Arlene,4
Arline,4
Arly,4
Arlyn,4
Arlyne,4
Aron,4
Ashla,4
Ashlan,4
Ashlen,4
Ashley,4
Ashli,4
Ashly,4
Athene,4
Audie,4
Audre,4
Aurie,4
Aurlie,4
Aurore,4
Avie,4
Barbe,4
Bebe,4
Bee,4
Bel,4
Belia,4
Bell,4
Bella,4
Belva,4
Berte,4
Bette,4
Bili,4
Bill,4
Billi,4
Billie,4
Billy,4
Billye,4
Blake,4
Bo,4
Bob,4
Bobbe,4
Boyce,4
Bree,4
Bride,4
Brook,4
Brooke,4
Bryon,4
Byron,4
Cacilie,4
Cahra,4
Calida,4
Cam,4
Camel,4
Cami,4
Camile,4
Camille,4
Cammi,4
Cammie,4
Cammy,4
Candi,4
Candie,4
Candy,4
Cara,4
Caralie,4
Caren,4
Carey,4
Cari,4
Caria,4
Caril,4
Carin,4
Carine,4
Carla,4
Carleen,4
Carlen,4
Carlene,4
Carley,4
Carlin,4
Carline,4
Carlota,4
Carly,4
Carlyn,4
Carma,4
Carmel,4
Carmen,4
Carmon,4
Carola,4
Carolee,4
Caroll,4
Carree,4
Carri,4
Carrie,4
Carry,4
Carson,4
Cary,4
Caryl,4
Caryn,4
Casey,4
Casi,4
Cass,4
Cassey,4
Cassi,4
Cassie,4
Cassy,4
Catha,4
Cathee,4
Cathi,4
Cathie,4
Cathleen,4
Cathlene,4
Cathy,4
Cati,4
Catlin,4
Caty,4
Cayla,4
Cecil,4
Cecile,4
Ceil,4
Celeste,4
Celina,4
Celisse,4
Cesya,4
Chanda,4
Channa,4
Charil,4
Charin,4
Charis,4
Charla,4
Charleen,4
Charlene,4
Charline,4
Charlotte,4
Charyl,4
Cherice,4
Cherin,4
Cherise,4
Cherlyn,4
Cherri,4
Cherry,4
Cheryl,4
Chickie,4
Chicky,4
Chrysa,4
Chryste,4
Ciel,4
Ciera,4
Cinda,4
Cindee,4
Cindi,4
Cindie,4
Cindy,4
Cissy,4
Clair,4
Claire,4
Clara,4
Clarey,4
Clari,4
Clarie,4
Clary,4
Claude,4
Cliff,4
Clint,4
Cloris,4
Clovis,4
Codi,4
Cody,4
Colette,4
Colleen,4
Collete,4
Colline,4
Conni,4
Connie,4
Conny,4
Cookie,4
Cooper,4
Cora,4
Coral,4
Coralie,4
Cordey,4
Cordi,4
Cordie,4
Cordy,4
Coreen,4
Corene,4
Corey,4
Cori,4
Corine,4
Corly,4
Cornie,4
Corny,4
Correy,4
Corri,4
Corrie,4
Corry,4
Cory,4
Craig,4
Crin,4
Cris,4
Cthrine,4
Cyb,4
Cybil,4
Cymbre,4
Cyndi,4
Cyndie,4
Cyndy,4
Cyril,4
Cyrus,4
Dacie,4
Dahlia,4
Daile,4
Dalia,4
Dalton,4
Dane,4
Daron,4
Dasie,4
Daune,4
Dayle,4
Ddene,4
De,4
Deane,4
Debee,4
Debor,4
Dede,4
Dedie,4
Dee,4
Dehlia,4
Del,4
Dela,4
Delia,4
Dell,4
Della,4
Delly,4
Delora,4
Delores,4
Devon,4
Diane,4
Dido,4
Dion,4
Dione,4
Dixie,4
Dode,4
Dodie,4
Doll,4
Dolley,4
Dolli,4
Dollie,4
Dolly,4
Dolores,4
Dore,4
Dorie,4
Doro,4
Dot,4
Doyle,4
Dre,4
Duane,4
Dulcea,4
Dulci,4
Dulcie,4
Dulcy,4
Dulsea,4
Dyane,4
Eadie,4
Eddie,4
Ede,4
Edee,4
Edie,4
Effie,4
Ehtel,4
Eileen,4
Eilis,4
Elane,4
Eleen,4
Elene,4
Elfie,4
Elga,4
Elin,4
Elise,4
Elka,4
Ella,4
Ellan,4
Ellen,4
Ellene,4
Elli,4
Elly,4
Ellyn,4
Elmer,4
Elna,4
Elnore,4
Eloise,4
Elora,4
Elroy,4
Elsa,4
Elset,4
Elsey,4
Elsi,4
Elsie,4
Elsy,4
Elton,4
Elva,4
Elyn,4
Elyse,4
Emalee,4
Emile,4
Emilee,4
Emilie,4
Emlyn,4
Emmie,4
Emmye,4
Emyle,4
Emylee,4
Ernie,4
