Name,Distance
Cooper,0
Cher,3
Cloe,3
Codee,3
Codie,3
Cole,3
Coleen,3
Collen,3
Cookie,3
Cordey,3
Coreen,3
Corey,3
Corie,3
Correy,3
Hope,3
Jospeh,3
Piper,3
Rodger,3
Roger,3
Adore,4
Adoree,4
Amber,4
Bobbe,4
Bobbee,4
Bonnee,4
Boyce,4
Brier,4
Brooke,4
Buster,4
Caleb,4
Calley,4
Camel,4
Caren,4
Carey,4
Carie,4
Carlee,4
Carlen,4
Carley,4
Carmel,4
Carmen,4
Carole,4
Carolee,4
Carree,4
Casey,4
Casie,4
Cassey,4
Cate,4
Cathe,4
Cathee,4
Catie,4
Catlee,4
Caye,4
Cele,4
Celie,4
Celle,4
Chase,4
Chere,4
Cherey,4
Cheri,4
Chery,4
Chet,4
Chloe,4
Ciel,4
Ciera,4
Cindee,4
Clair,4
Clare,4
Clarey,4
Clea,4
Clem,4
Cleo,4
Clo,4
Cloris,4
Clovis,4
Codi,4
Cody,4
Colene,4
Colin,4
Colleen,4
Collete,4
Collie,4
Colly,4
Con,4
Conni,4
Connie,4
Conny,4
Conrad,4
Cora,4
Corabel,4
Coral,4
Cordi,4
Cordie,4
Cordy,4
Corene,4
Cori,4
Corina,4
Corine,4
Coriss,4
Corly,4
Cornela,4
Cornie,4
Corny,4
Correna,4
Corri,4
Corrie,4
Corry,4
Cortney,4
Cory,4
Cynde,4
Dione,4
Dode,4
Dodie,4
Doe,4
Dolley,4
Dolores,4
Dore,4
Doreen,4
Dorey,4
Dorie,4
Dorotea,4
Dorree,4
Dorsey,4
Doyle,4
Easter,4
Ebonee,4
Elmer,4
Ester,4
Esther,4
Flor,4
Flore,4
Ginger,4
Golden,4
Greer,4
Grier,4
Hester,4
Honey,4
Honor,4
Hosea,4
Imogen,4
Inger,4
Isobel,4
Joane,4
Jobey,4
Jobie,4
Jobye,4
Jodee,4
Jodie,4
Joete,4
Joey,4
Joice,4
Jolee,4
Joleen,4
Jolie,4
Jonie,4
Jorey,4
Jorge,4
Jorie,4
Josee,4
Josey,4
Josie,4
Joyce,4
Joye,4
Koo,4
Kore,4
Koren,4
Korie,4
Korney,4
Leone,4
Leonel,4
Lester,4
Loise,4
Lonee,4
Loree,4
Loreen,4
Loren,4
Lorie,4
Lorne,4
Lotte,4
Louie,4
Lovie,4
Lupe,4
Mollee,4
Moreen,4
Morgen,4
Noe,4
Noel,4
Nolie,4
Nonie,4
Noreen,4
Omer,4
Palmer,4
Pier,4
Pooh,4
Poppy,4
Rodie,4
Rodney,4
Rorie,4
Rose,4
Rosie,4
Rowe,4
Roxie,4
Roze,4
Rupert,4
Sher,4
Sofie,4
Sophey,4
Sophi,4
Tobe,4
Tobey,4
Tobie,4
Tobye,4
Tonie,4
Tonye,4
Torey,4
Torie,4
Tove,4
Viole,4
Violet,4
Zoe,4
Aaren,5
Abbe,5
Abbey,5
Abbie,5
Abbye,5
Abel,5
Addie,5
Adel,5
Adele,5
Adey,5
Adora,5
Adorne,5
Adrea,5
