Name,Distance
Kayla,0
Cayla,1
Gayla,1
Kaela,1
Kaila,1
Kala,1
Karla,1
Kayle,1
Kyla,1
Layla,1
Calla,2
Carla,2
Darla,2
Dayle,2
Dayna,2
Gayle,2
Jayna,2
Kaia,2
Kaile,2
Kaja,2
Kali,2
Kalila,2
Kalli,2
Kally,2
Kamila,2
Kania,2
Kanya,2
Kara,2
Karia,2
Karly,2
Karna,2
Karola,2
Karyl,2
Kata,2
Katha,2
Katya,2
Kay,2
Kaye,2
Kaylee,2
Kayley,2
Kaylil,2
Kaylyn,2
Kyle,2
Leyla,2
Mala,2
Marla,2
Paola,2
Paula,2
Pavla,2
Rasla,2
Rayna,2
Shayla,2
Shyla,2
Twyla,2
Zarla,2
Adela,3
Aila,3
Alayna,3
Alla,3
Alyda,3
Alysa,3
Anya,3
Ashla,3
Basia,3
Bella,3
Bryna,3
Cahra,3
Cal,3
Calli,3
Cally,3
Camala,3
Camila,3
Cara,3
Caria,3
Carly,3
Carma,3
Carola,3
Caryl,3
Catha,3
Caye,3
Charla,3
Dacia,3
Dael,3
Dahlia,3
Daile,3
Dale,3
Dalia,3
Dalila,3
Dallas,3
Dana,3
Dania,3
Danila,3
Danna,3
Danya,3
Dara,3
Darda,3
Daria,3
Darya,3
Daryl,3
Dasha,3
Dasya,3
Datha,3
Dawna,3
Dela,3
Della,3
Doyle,3
Dyna,3
Eada,3
Earl,3
Ella,3
Emyle,3
Eula,3
Faina,3
Fania,3
Fanya,3
Fara,3
Farra,3
Fay,3
Faydra,3
Faye,3
Fayina,3
Fayre,3
Fayth,3
Frayda,3
Gael,3
Gail,3
Gale,3
Gavra,3
Gay,3
Gaye,3
Gayel,3
Haily,3
Hal,3
Hali,3
Halli,3
Hally,3
Hana,3
Hanna,3
Harlan,3
Harli,3
Hayley,3
Illa,3
Ilysa,3
Jada,3
Jana,3
Janela,3
Jania,3
Janka,3
Janna,3
Jay,3
Jayme,3
Jayne,3
Joela,3
Joya,3
Kacey,3
Kacie,3
